"Exp_ID","UniqueStockID","TrtID_Final","RunBy","till","first.year","initial.SOC","location_name","Can_SOC30","initial.SOC.impute","POLYID","init_active_frac","init_slow_frac","init_passive_frac","mean_c_input"
"E1","E1_F0NS_CT","ELL_F0NS_CT_CR1 + ELL_F0NS_CT_CR3","stock","FT",1983,131.9,"Ellerslie, Alberta",131.9,131.9,727006,44.2365497508534,74.3894207148004,13.2740295343463,1.85235495505892
"E1","E1_F0S_CT","ELL_F0S_CT_CR1 + ELL_F0S_CT_CR3","stock","FT",1983,131.9,"Ellerslie, Alberta",131.9,131.9,727006,44.2365497508534,74.3894207148003,13.2740295343463,1.84573499891316
"E1","E1_F25NS_CT","ELL_F25NS_CT_CR1 + ELL_F25NS_CT_CR3","stock","FT",1983,131.9,"Ellerslie, Alberta",131.9,131.9,727006,44.2365497508534,74.3894207148003,13.2740295343463,2.13688950589127
"E1","E1_F25S_CT","ELL_F25S_CT_CR1 + ELL_F25S_CT_CR3","stock","FT",1983,131.9,"Ellerslie, Alberta",131.9,131.9,727006,44.2365497508534,74.3894207148003,13.2740295343463,2.2487535869622
"E1","E1_F50NS_CT","ELL_F50NS_CT_CR1 + ELL_F50NS_CT_CR3","stock","FT",1983,131.9,"Ellerslie, Alberta",131.9,131.9,727006,44.2365497508534,74.3894207148004,13.2740295343463,2.38303264198742
"E1","E1_F50S_CT","ELL_F50S_CT_CR1 + ELL_F50S_CT_CR3","stock","FT",1983,131.9,"Ellerslie, Alberta",131.9,131.9,727006,44.2365497508534,74.3894207148003,13.2740295343463,2.58272763288388
"E1","E1_F75NS_CT","ELL_F75NS_CT_CR1 + ELL_F75NS_CT_CR3","stock","FT",1983,131.9,"Ellerslie, Alberta",131.9,131.9,727006,44.2365497508534,74.3894207148003,13.2740295343463,2.37844697143754
"E1","E1_F75S_CT","ELL_F75S_CT_CR1 + ELL_F75S_CT_CR3","stock","FT",1983,131.9,"Ellerslie, Alberta",131.9,131.9,727006,44.2365497508534,74.3894207148003,13.2740295343463,2.53004341933591
"E10","E10_CT_CR1","STE_CT_CR1","treatment","FT",1982,NA,"Stewart Valley, Saskatchewan",45.4,45.4,808017,13.4354256738887,26.8712015455461,5.09337278056516,1.6692730911464
"E10","E10_CT_CR2 + E68_CT_CR2","STE_CT_CR2","treatment","FT",1982,NA,"Stewart Valley, Saskatchewan",45.4,45.4,808017,13.4354256738887,26.8712015455461,5.09337278056516,0.738777673000141
"E10","E10_NT_CR1","STE_NT_CR1","treatment","NT",1982,NA,"Stewart Valley, Saskatchewan",45.4,45.4,808017,25.4535892296142,16.7680638713669,3.1783468990189,1.75301779559987
"E10","E10_NT_CR2 + E68_NT_CR2","STE_NT_CR2","treatment","NT",1982,NA,"Stewart Valley, Saskatchewan",45.4,45.4,808017,25.4535892296142,16.7680638713669,3.1783468990189,0.74351261490752
"E11","E11_CT_CR1","SWI_CT_CR1","treatment","FT",1967,NA,"Swift Current, Saskatchewan",46.8,46.8,825007,13.5579311136196,27.681794591364,5.56027429501649,1.63366534826975
"E11","E11_NT_CR2","SWI_NT_CR2","treatment","NT",1982,NA,"Swift Current, Saskatchewan",46.8,46.8,825007,26.2963853446686,15.5354053830085,4.96820927232297,0.674482567079197
"E11","E11_CT_CR2","SWI_CT_CR2","treatment","FT",1967,NA,"Swift Current, Saskatchewan",46.8,46.8,825007,13.5579311136196,27.681794591364,5.56027429501649,1.06173985300467
"E11","E11_NT_CR1","SWI_NT_CR1","treatment","NT",1982,NA,"Swift Current, Saskatchewan",46.8,46.8,825007,26.2963853446686,15.5354053830085,4.96820927232297,1.71337748843528
"E12","E12_CT_CR1","LET_CT_CR1","treatment","FT",1976,NA,"Lethbridge, Alberta",91.5,91.5,793011,25.8469451186412,54.4625789600568,11.190475921302,0.957330876135638
"E12","E12_NT_CR1","LET_NT_CR1","treatment","NT",1976,NA,"Lethbridge, Alberta",91.5,91.5,793011,49.8189567875851,34.5765648102116,7.10447840220323,0.957330876135638
"E12","E12_CT_CR2 + E36_CT","LET_CT_CR2","treatment","FT",1968,NA,"Lethbridge, Alberta",91.5,91.5,793011,25.5690360750522,54.3006455191285,11.6303184058193,0.528282831216667
"E12","E12_NT_CR2 + E36_NT","LET_NT_CR2","treatment","NT",1968,NA,"Lethbridge, Alberta",91.5,91.5,793011,49.4775437539904,34.6096335411566,7.41282270485307,0.528282831216667
"E13","E13_CT","BRE_CT_CR3","treatment","FT",1979,NA,"Breton, Alberta",86.4,86.4,692009,26.6790970725141,49.6591566865468,10.0617462409391,1.82082007577838
"E13","E13_NT","BRE_NT_CR3","treatment","NT",1979,NA,"Breton, Alberta",86.4,86.4,692009,49.731894390023,30.4902825078795,6.17782310209748,1.53744111653137
