"site","POLYID","Freq","experiment","year","input_type","modelled_SOC","init_active_frac","init_slow_frac","init_passive_frac"
"E4_202","793011",9,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",94.1,34.2762008336998,48.8262167484826,10.9975824178176
"E4_203","793011",9,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",96.2,34.4910316162426,50.5699943795017,11.1389740042557
"E4_205","793011",10,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",88.2,32.127108539132,45.7648492796617,10.3080421812063
"E4_207","793011",43,"E4",1954,"c(""0-15"", ""15-30"")",97.1,35.3689596275478,50.3828442750017,11.3481960974505
"E4_208","793011",43,"E4",1954,"c(""0-15"", ""15-30"")",95.8,34.8954308168804,49.7083056801767,11.1962635029429
"E4_209","793011",44,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",90.2,32.8556144016974,46.8026009640077,10.5417846342949
"E4_210","793011",43,"E4",1954,"c(""0-15"", ""15-30"")",100.3,36.5345690076524,52.0432469699554,11.7221840223922
"E4_211","793011",10,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",88.15,32.1088958925679,45.738905487553,10.3021986198791
"E4_213","793011",44,"E4",1954,"c(""0-15"", ""15-30"")",96.2,35.0411319893934,49.9158560170459,11.2430119935606
"E4_214","793011",44,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",96.2,35.0411319893934,49.9158560170459,11.2430119935606
"E4_215","793011",44,"E4",1954,"c(""0-15"", ""15-30"")",101,36.7895460595503,52.4064600594765,11.8039938809732
"E4_217","793011",10,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",96.35,35.0957699290858,49.9936873933719,11.2605426775423
"E4_218","793011",44,"E4",1954,"c(""0-15"", ""15-30"")",93.2,33.9483731955454,48.3592284905268,10.8923983139278
"E4_219","793011",44,"E4",1954,"c(""0-15"", ""15-30"")",95.6,34.8225802306238,49.6045305117421,11.172889257634
"E4_220","793011",10,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",97.05,35.3507469809837,50.356900482893,11.3423525361233
"E4_222","793011",43,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",80.8,29.4316368476402,41.9251680475812,9.44319510477857
"E4_223","793011",44,"E4",1954,"c(""0-15"", ""15-30"")",95.4,34.7497296443673,49.5007553433075,11.1495150123252
"E4_224","793011",44,"E4",1954,"c(""0-15"", ""15-30"")",88.2,32.127108539132,45.7648492796617,10.3080421812063
"E4_225","793011",40,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",111.1,40.4685006655053,57.6471060654242,12.9843932690705
"E4_226","793011",9,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",86.9,30.9041583343212,45.9814667492225,10.0143749164563
"E4_227","793011",10,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",79.15,28.1480337417897,41.8807030287798,9.12126322943054
"E4_228","793011",9,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",78.55,28.6120677522542,40.7576974026919,9.18023484505392
"E4_229","793011",10,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",79.85,29.0855965629217,41.4322359975168,9.33216743956149
"E4_301","793011",44,"E4",1954,"c(""0-15"", ""15-30"")",102.6,37.3723507496026,53.2366614069534,11.9909878434441
"E4_302","793011",44,"E4",1954,"c(""0-15"", ""15-30"")",96.2,35.0411319893934,49.9158560170459,11.2430119935606
"E4_303","793011",44,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",78.85,28.721343631639,40.9133601553438,9.2152962130172
"E4_305","793011",9,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",94.1,33.4646869880279,49.7912085282145,10.8441044837576
"E4_306","793011",44,"E4",1954,"c(""0-15"", ""15-30"")",98.1,35.7332125588305,50.9017201171747,11.4650673239948
"E4_307","793011",44,"E4",1954,"c(""0-15"", ""15-30"")",88.9,32.3820855910299,46.1280623691828,10.3898520397873
"E4_308","793011",10,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",89.35,31.7754493345409,47.277837215685,10.2967134497741
"E4_310","793011",43,"E4",1954,"c(""0-15"", ""15-30"")",100.5,36.6074195939089,52.14702213839,11.7455582677011
"E4_311","793011",44,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",73.2,26.6633145698919,37.9817116470661,8.55497378304197
"E4_312","793011",43,"E4",1954,"c(""0-15"", ""15-30"")",98.3,35.8060631450871,51.0054952856093,11.4884415693036
"E4_314","793011",10,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",89.45,32.5824247032354,46.413444082378,10.4541312143867
"E4_315","793011",44,"E4",1954,"c(""0-15"", ""15-30"")",99.5,36.2431666626263,51.628146296217,11.6286870411568
"E4_316","793011",44,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",78.4,28.5574298125618,40.6798660263659,9.16270416107228
"E4_317","793011",44,"E4",1954,"c(""0-15"", ""15-30"")",91.9,33.4748443848779,47.6846898957019,10.7404657194202
"E4_318","793011",43,"E4",1954,"c(""0-15"", ""15-30"")",93.8,34.166924954315,48.6705539958307,10.9625210498543
"E4_320","793011",10,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",92.55,33.7116087902117,48.0219591931144,10.816432016674
"E4_322","793011",9,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",75.65,27.5557342515344,39.2529574603901,8.84130828807548
"E4_323","793011",9,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",94.6,33.9173762047459,49.7289133919009,10.9537104033533
"E4_325","793011",40,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",97.65,35.5692987397533,50.6682259881968,11.4124752720498
"E4_326","793011",9,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",91.7,33.4019937986214,47.5809147272673,10.7170914741113
"E4_327","793011",10,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",82.7,30.1237174170773,42.91103214771,9.66525043521272
