"site","experiment","year","input_type","modelled_SOC"
"E72_CT_CR1","E72",1993,"0-15",45.8
"E72_CT_CR2","E72",1993,"0-15",45.8
"E72_NT_CR1","E72",1993,"0-15",47.8
"E72_NT_CR2","E72",1993,"0-15",47.8
"E73_CT","E73",2005,"0-15",82.5
"E73_NT","E73",2005,"0-15",82.3
"E74_CT","E74",2004,"0-30",54.5
"E74_NT","E74",2004,"0-30",53
"E75_CT","E75",2004,"0-60",86.1
"E75_NT","E75",2004,"0-60",84.1
"E7_Field 1T1","E7",1987,"c(""0-7.5"", ""0-15"", ""7.5-15"", ""15-30"")",64.5436745833333
"E7_Field 1T2","E7",1987,"c(""0-7.5"", ""0-15"", ""7.5-15"", ""15-30"")",64.1139333411667
