"site","POLYID","Freq","experiment","year","input_type","modelled_SOC","init_active_frac","init_slow_frac","init_passive_frac"
"E5_Field 3.3_RT_N0P0_CR3","828001",12,"E5",1922,"c(""0-15"", ""15-30"")",47.10005,NA,NA,NA
"E5_Field 3.3_RT_N0P0_CR4","828001",96,"E5",1940,"c(""0-15"", ""15-30"")",46.095085,NA,NA,NA
"E5_Field 3.3_RT_N0P20_CR3","828001",12,"E5",1922,"c(""0-15"", ""15-30"")",47.10005,NA,NA,NA
"E5_Field 3.3_RT_N0P20_CR4","828001",96,"E5",1940,"c(""0-15"", ""15-30"")",46.095085,NA,NA,NA
"E5_Field 3.3_RT_N45P0_CR3","828001",12,"E5",1922,"c(""0-15"", ""15-30"")",47.10005,NA,NA,NA
"E5_Field 3.3_RT_N45P0_CR4","828001",96,"E5",1940,"c(""0-15"", ""15-30"")",46.095085,NA,NA,NA
"E5_Field 3.3_RT_N45P20_CR3","828001",12,"E5",1922,"c(""0-15"", ""15-30"")",47.10005,NA,NA,NA
"E5_Field 3.3_RT_N45P20_CR4","828001",96,"E5",1940,"c(""0-15"", ""15-30"")",46.095085,NA,NA,NA
"E50_CT_CR25","705002",8,"E50",2001,"0-15",78,NA,NA,NA
"E50_CT_CR26","705002",8,"E50",2001,"0-15",78,NA,NA,NA
"E50_CT_CR27","705002",8,"E50",2001,"0-15",78,NA,NA,NA
"E50_NT_CR25","705002",8,"E50",2001,"0-15",81.4,NA,NA,NA
"E50_NT_CR26","705002",8,"E50",2001,"0-15",81.4,NA,NA,NA
"E50_NT_CR27","705002",8,"E50",2001,"0-15",81.4,NA,NA,NA
"E51_CT","565023",15,"E51",2005,"0-30",63.9,NA,NA,NA
"E51_NT","565023",15,"E51",2005,"0-30",78.5,NA,NA,NA
"E52_CT_CR28","565023",11,"E52",2005,"0-30",76,NA,NA,NA
"E52_CT_CR29","565023",11,"E52",2005,"0-30",76,NA,NA,NA
"E52_CT_CR30","565023",11,"E52",2005,"0-30",76,NA,NA,NA
"E52_CT_CR31","565023",11,"E52",2005,"0-30",76,NA,NA,NA
"E52_CT_CR5","565023",11,"E52",2005,"0-30",76,NA,NA,NA
"E52_NT_CR28","565023",11,"E52",2005,"0-30",89.4,NA,NA,NA
"E52_NT_CR29","565023",11,"E52",2005,"0-30",89.4,NA,NA,NA
"E52_NT_CR30","565023",11,"E52",2005,"0-30",89.4,NA,NA,NA
"E52_NT_CR31","565023",11,"E52",2005,"0-30",89.4,NA,NA,NA
"E52_NT_CR5","565023",11,"E52",2005,"0-30",89.4,NA,NA,NA
"E53_CT_CR1","825007",23,"E53",2004,"0-15",45.6,NA,NA,NA
"E53_CT_CR2","825007",23,"E53",2004,"0-15",45.6,NA,NA,NA
"E53_NT_CR1","825007",23,"E53",2004,"0-15",48,NA,NA,NA
"E53_NT_CR2","825007",23,"E53",2004,"0-15",48,NA,NA,NA
"E54_CT_CR32","767001",24,"E54",2004,"0-15",50.75,NA,NA,NA
"E54_CT_CR33","767001",24,"E54",2004,"0-15",50.75,NA,NA,NA
"E54_CT_CR34","767001",24,"E54",2004,"0-15",50.75,NA,NA,NA
"E54_NT_CR32","767001",24,"E54",2004,"0-15",56.65,NA,NA,NA
"E54_NT_CR33","767001",24,"E54",2004,"0-15",56.65,NA,NA,NA
"E54_NT_CR34","767001",24,"E54",2004,"0-15",56.65,NA,NA,NA
"E55_CT","727006",26,"E55",2005,"0-15",131.65,NA,NA,NA
"E55_NT","727006",26,"E55",2005,"0-15",132.15,NA,NA,NA
"E56_CT","744005",11,"E56",2001,"0-15",99.5,NA,NA,NA
"E56_NT","744005",11,"E56",2001,"0-15",106.1,NA,NA,NA
"E57_CT","692009",26,"E57",2005,"0-15",84.75,NA,NA,NA
"E57_NT","692009",26,"E57",2005,"0-15",88.05,NA,NA,NA
"E58_CT_CR35","570007",22,"E58",2014,"0-30",78.5,NA,NA,NA
"E58_CT_CR5","570007",22,"E58",2014,"0-30",78.5,NA,NA,NA
"E58_NT_CR35","570007",22,"E58",2014,"0-30",76.2,NA,NA,NA
"E58_NT_CR5","570007",22,"E58",2014,"0-30",76.2,NA,NA,NA
"E59_CT","570007",12,"E59",2004,"0-30",68.7,NA,NA,NA
"E59_NT","570007",12,"E59",2004,"0-30",68.9,NA,NA,NA
"E6_Field 1.1_CT_T1_CR1","825005",51,"E6",1976,"c(""0-15"", ""15-30"")",49.1165,NA,NA,NA
"E6_Field 1.10_CT_T17_CR12","825005",12,"E6",1976,"c(""0-15"", ""15-30"")",54.54,NA,NA,NA
"E6_Field 1.10_CT_T18_CR11","825005",39,"E6",1981,"c(""0-15"", ""15-30"")",45.894,NA,NA,NA
